		samlet klimaaftryk (danske fødevare)	Kilde	liter vand	Kilde	kcal pr 100g	Protein pr 100g	total-N	Fedt	mættede	monoumættede	polyumættede	Kulhydrat	tilgængelig	tilsat sukker	kostfibre	alkohol	aske	  	Kilde	kcal pr. kg Co2	Gram protein pr Kg Co2	Gram Fedt pr. Kg Co2	Gram kostfibre pr kg Co2
	Bananer (import) 0,5 - 16)	0,5	16	790	41	83	1,3	0,2	0,3	0,1	0	0,1	19	17,4	0	1,6	0	0,8	76,6	41	1660	26	6	32
	Jordbær (gns. danske og sydeuropæiske) h) 0,9 - 37+38)	0,9	37+38			41	0,7	0,1	0,6	0,1	0,1	0,3	8,8	7,3	0	1,5	0	0,4	89,6	41	455,5555556	7,777777778	6,666666667	16,66666667
	Korn og kornprodukter																							
	Rugbrød, frisk i) 0,8 0,2 7)	0,8	7			205	5	0,9	1,2	0,2	0,3	0,6	47	38,9	0	8,1	0	2,1	45	41	2562,5	62,5	15	101,25
	Hvedebrød, frisk 0,8 0,2 7)	0,8	7			273	8,5	1,5	3,7	1,1	1,1	1	52	48,9	0	3,1	0	1,7	34,1	41	3412,5	106,25	46,25	38,75
	Havregryn 0,8 0,2 7)	0,8	7			368	13,2	2,3	6,5	1,1	2,2	2,7	68,2	58,1	0	10,1	0	2,3	9,3	41	4600	165	81,25	126,25
	Hvedemel 1,2 0,2 7)	1,2	7			353	9,6	1,7	1,6	0,2	0,2	0,7	75,7	72	0	3,7	0	0,7	12,7	41	2941,666667	80	13,33333333	30,83333333
	Rugmel 1,0 0,2 7)	1	7			338	8,8	1,5	2,3	0,3	0,2	1,2	77,1	62,3	0	14,8	0	1,6	10,8	41	3380	88	23	148
	Ris (import) j) 3,3 - 24+25)	3,3	24+25			365	7,8	1,3	1,2	0,3	0,3	0,4	79,8	78,9	0	0,9	0	0,7	10,9	41	1106,060606	23,63636364	3,636363636	2,727272727
	Pasta k) 1,2 0,2 39)	1,2	39	1849	41	368	12,3	2,2	1,8	0,3	0,2	0,8	76	72,8	0	3,2	0	0,8	9,5	41	3066,666667	102,5	15	26,66666667
	Drikkevarer																							
